Winner,Matches diff,Winrates diff,Counter picks winrate diff,Synergies winrates diff,Networthes diff,Signatures diff,R1 rank,R2 rank,R3 rank,R4 rank,R5 rank,D1 rank,D2 rank,D3 rank,D4 rank,D5 rank
1,-3485,0.0068,-0.01426,-0.01165,-84,1,353,138,35,31,8,141,156,15,15,100
1,-131,0.0132,0.00885,-0.00662,-1769,-1,1,11,25,413,368,530,315,166,165,81
1,-3485,0.0068,0.00131,-0.01061,905,-1,353,138,35,31,8,141,156,15,15,100
1,-131,0.0132,0.06433,-0.00489,2807,0,1,11,25,413,368,530,315,166,165,81
0,-3485,0.0068,-0.02462,0.00975,-459,0,353,138,35,31,8,141,156,15,15,100
0,17024,-0.026,0.00948,0.00477,-2461,0,92,177,340,77,186,59,42,13,37,468
1,-2300,-0.0016,0.01481,0.02689,1746,0,360,28,58,242,169,14,100,170,41,55
1,-17024,0.026,0.02159,-0.00164,3703,0,59,37,13,42,468,92,177,340,77,186
1,17024,-0.026,0.0587,-0.0007,1665,0,92,177,340,77,186,468,59,13,42,37
0,2300,0.0016,-0.00649,-0.0083,581,1,14,100,170,41,55,360,28,58,242,169
0,-18996,0.002,-0.06133,0.01769,1256,1,87,539,5,16,43,353,138,35,31,8
0,-18996,0.002,-0.01733,0.00082,-1788,1,87,539,5,16,43,353,138,31,35,8
1,-18996,0.002,-0.03686,-0.00484,-2506,1,87,539,5,16,43,353,138,31,35,8
1,18996,-0.002,0.001,-0.02936,3644,1,353,138,31,35,8,87,539,5,16,43
1,-18996,0.002,-0.01975,0.00429,834,1,87,539,5,16,43,353,138,31,35,8
1,-9155,-0.0024,0.00836,-0.02195,3928,1,87,539,5,16,43,9,4,390,589,2
1,-5427,-0.0104,0.02597,0.0039,-924,0,38,190,4,244,94,58,178,11,5001,367
0,9155,0.0024,0.00357,-0.01142,-2498,0,2,4,390,589,9,87,539,5,16,43
0,-5427,-0.0104,0.00442,0.00932,2265,0,38,190,4,244,94,58,178,11,5001,367
0,19541,-0.0032,0.03677,0.00056,-4305,-1,62,67,213,3,42,141,156,15,15,100
1,-5427,-0.0104,-0.00893,-0.00532,-949,1,38,190,4,244,94,58,178,11,5001,367
0,19541,-0.0032,-0.00484,-0.00091,-2368,-1,62,3,67,213,42,141,156,15,15,100
0,-5427,-0.0104,-0.06682,0.02212,266,0,190,38,4,244,94,58,178,11,5001,367
0,5427,0.0104,-0.01194,0.02545,-2027,-1,58,178,11,5001,367,38,190,4,244,94
0,5637,-0.0202,0.00109,0.02166,-4224,0,26,107,118,125,125,20,14,44,18,82
1,4093,-0.004,0.02226,-0.00894,-523,0,141,156,15,15,100,1,11,25,413,368
0,-5637,0.0202,0.0339,0.01023,-3900,0,20,14,44,18,82,26,107,118,125,125
0,-4093,0.004,0.03065,-0.00082,760,-1,1,11,25,413,368,141,156,15,15,100
0,5637,-0.0202,-0.03715,-0.01691,-792,0,26,107,118,125,125,20,14,44,18,82
0,-5637,0.0202,0.03946,0.011,-1,1,20,14,44,18,82,26,107,118,125,125
0,-44236,-0.0284,-0.04292,-0.0005,-8233,1,2128,4997,1816,1857,5001,58,178,11,5001,367
0,5637,-0.0202,-0.03129,0.01511,930,0,26,107,118,125,125,20,14,44,18,82
0,-3946,0.0278,0.00972,-0.01854,2036,0,124,10,167,273,196,26,107,118,125,125
1,3946,-0.0278,0.02186,0.00403,-800,0,26,107,118,125,125,124,10,167,273,196
0,3946,-0.0278,-0.00426,0.0166,-896,0,26,107,118,125,125,124,10,167,273,196
1,9841,-0.0044,0.04328,-0.0061,-848,1,353,138,31,35,8,2,4,390,589,9
1,-16725,0.01,-0.01746,-0.03495,-1174,1,87,539,5,16,43,281,424,511,925,8
1,13526,-0.0152,0.03795,0.03608,1699,-1,281,424,511,925,8,202,183,285,508,155
1,-39422,0.0318,-0.00672,-0.00289,5608,-1,353,148,214,251,66,62,3,67,213,42
1,-39422,0.0318,0.02301,0.01777,5028,0,353,148,214,251,66,62,67,3,213,42
0,-6359,0.014,0.00667,0.03004,78,-2,713,706,109,349,686,353,138,35,31,8
1,5956,-0.0028,-0.03717,-0.02001,-3727,2,9,4,390,589,2,183,508,285,202,155
0,-6359,0.014,-0.07815,-0.02027,-395,-1,109,713,349,686,706,353,138,31,35,8
0,-5956,0.0028,-0.00847,-0.0527,-373,1,183,285,202,508,155,9,4,390,589,2
0,-3902,-0.0012,-0.0119,0.0,-2504,0,93,57,90,17,46,1,11,25,413,368
1,8020,-0.0126,0.02297,0.00294,-1332,1,141,156,15,15,100,360,28,58,242,169
1,3902,0.0012,-0.0112,-0.01421,1659,0,1,11,25,413,368,46,57,17,93,90
0,-8020,0.0126,-0.02409,-0.01209,-2506,1,360,28,58,242,169,141,156,15,15,100
1,-5637,0.0202,-0.02264,0.0,229,1,20,14,44,18,82,26,107,118,125,125
1,-5427,-0.0104,0.0182,0.00735,1253,2,38,190,4,244,94,58,178,11,5001,367
1,27536,-0.006,-0.01636,0.00473,1654,-1,62,3,67,213,42,46,57,17,93,90
0,-5637,0.0202,-0.00734,-0.00705,935,0,20,14,44,18,82,26,107,118,125,125
0,5427,0.0104,-0.0262,0.03687,2223,0,58,178,11,5001,367,244,190,38,4,94
1,26748,0.029,0.03619,0.01009,827,-1,124,10,167,273,196,77,123,120,148,354
0,27536,-0.006,-0.038,-0.03213,-573,-1,62,3,67,213,42,46,57,17,93,90
0,5637,-0.0202,0.00037,0.01908,-2897,-1,26,107,118,125,125,20,14,44,18,82
1,-19881,0.0286,0.02982,0.00175,-424,-1,353,148,214,251,66,141,156,15,15,100
0,-26748,-0.029,0.0548,-0.00857,-1270,0,120,77,123,148,354,124,10,167,273,196
1,-19881,0.0286,0.03443,0.0082,3631,-1,353,148,214,251,66,141,156,15,15,100
0,-27536,0.006,0.00322,0.02802,1848,0,93,57,17,46,90,62,67,213,3,42
0,-18512,-0.0258,0.03481,0.00445,-3305,1,585,508,307,1656,524,58,178,11,5001,367
0,7166,0.0504,-0.02403,-0.05546,2764,0,59,850,527,326,501,120,77,123,148,354
0,-18512,-0.0258,0.08909,-0.01226,-6354,2,585,1656,508,307,524,58,178,11,5001,367
1,38809,0.018,-0.02893,-0.0265,10058,0,190,244,38,4,94,1816,1857,4997,2128,5001
0,-7166,-0.0504,0.06441,-0.01287,-6416,0,120,77,123,148,354,59,850,326,527,501
1,38809,0.018,0.01589,0.00406,5490,-1,190,4,38,244,94,1816,2128,1857,5001,4997
1,-18512,-0.0258,0.06239,0.0,1823,0,585,508,307,1656,524,58,178,11,5001,367
0,-1413,-0.014,-0.01227,0.00809,-2638,0,51,75,14,53,172,124,10,167,273,196
0,7166,0.0504,-0.00911,0.00048,-1729,0,59,850,326,527,501,120,77,148,123,354
1,1413,0.014,-0.00596,0.01594,-1674,-2,124,10,167,273,196,51,75,14,53,172
1,3946,-0.0278,0.02174,-0.00536,142,0,26,107,118,125,125,124,10,167,273,196
1,3946,-0.0278,0.0323,0.01818,-1041,1,26,107,118,125,125,124,10,167,273,196
1,-2358,-0.004,0.04356,-0.02443,1117,-2,43,539,5,16,87,659,299,356,94,15
0,-8617,0.001,-0.06661,0.00995,-3392,1,335,60,770,253,260,281,424,511,925,8
0,-2358,-0.004,0.04007,0.02713,24,1,87,539,5,16,43,659,356,15,94,299
0,-8617,0.001,-2e-05,0.00312,-5113,0,770,60,335,253,260,281,424,511,925,8
0,2358,0.004,0.0461,0.0245,-1337,0,659,299,15,356,94,87,539,5,16,43
0,3390,-0.0066,0.03899,0.02733,1550,-2,214,54,321,21,119,50,69,33,196,133
1,3390,-0.0066,0.04377,0.03382,3641,0,214,54,321,21,119,50,69,33,196,133
0,-3390,0.0066,-0.05649,-0.05172,-3096,1,50,69,33,196,133,214,54,321,21,119
0,-6797,0.0016,0.00416,0.02853,-4832,-1,15,299,94,356,659,9,390,4,589,2
0,-3199,-0.0052,-0.01653,0.00784,-392,-1,87,539,5,16,43,183,202,285,508,155
1,3199,0.0052,0.01262,-0.00341,4235,1,183,202,285,508,155,87,539,5,16,43
0,7662,-0.0016,0.00511,0.03199,-3772,-1,92,177,340,77,186,1,11,25,413,368
0,3390,-0.0066,-0.02787,-0.03037,801,1,214,54,321,21,119,50,69,33,196,133
0,-6797,0.0016,-0.04554,0.01041,-119,-2,659,15,94,356,299,9,4,390,589,2
1,14407,0.0134,0.01456,0.0,5023,-2,360,28,58,242,169,70,145,97,105,231
1,-7662,0.0016,-0.02032,0.01573,-196,2,1,11,25,413,368,92,177,340,77,186
1,-3390,0.0066,0.01535,0.0088,3220,0,50,69,33,196,133,214,54,321,21,119
1,7662,-0.0016,0.00747,-0.01079,855,-1,92,177,340,77,186,1,11,25,413,368
1,14407,0.0134,-0.03186,-0.02021,-1313,2,360,28,58,242,169,70,97,231,145,105
1,-2429,-0.0046,-0.01625,0.0,525,0,39,123,75,172,26,14,100,170,41,55
0,-2271,-0.008,0.06052,0.01197,0,0,281,424,511,925,8,353,138,31,35,8
1,4529,0.021,-0.00499,-0.01822,0,-1,713,349,686,109,706,770,60,335,253,260
1,1512,0.0222,-0.0312,-0.02284,1824,1,214,54,321,21,119,117,580,109,463,425
1,41968,-0.0024,-0.02128,0.0,607,1,62,3,213,67,42,70,97,105,231,145
1,4529,0.021,0.02959,0.04026,-13,-1,109,349,713,706,686,335,60,770,253,260
1,2271,0.008,0.03228,0.00808,-153,0,353,138,35,31,8,281,424,511,925,8
1,2429,0.0046,-0.06294,-0.0021,-1194,0,14,100,170,41,55,39,172,75,123,26
1,-2429,-0.0046,0.01122,-0.02453,3438,0,39,172,75,123,26,14,100,170,41,55
1,25,-0.0098,0.0346,-0.0182,3617,0,93,57,17,46,90,360,28,58,242,169
0,-1512,-0.0222,-0.00037,0.00685,-636,0,580,117,463,109,425,214,54,21,321,119
1,41968,-0.0024,-0.01066,-0.02209,289,-2,62,67,213,3,42,70,105,97,145,231
0,2429,0.0046,0.02663,0.02182,936,1,14,100,170,41,55,39,75,172,123,26
0,-25,0.0098,-0.00348,-0.01365,141,0,360,28,58,242,169,93,57,90,17,46
0,-4093,0.004,0.02326,0.00556,-2141,2,1,11,25,413,368,141,156,15,15,100
1,-6473,-0.0058,-0.01163,-0.04638,2119,0,120,77,123,148,354,163,115,136,174,327
1,2429,0.0046,-0.04983,-0.03869,-421,1,14,100,170,41,55,39,75,172,123,26
0,-6473,-0.0058,0.03039,0.0,-353,-1,77,120,123,148,354,163,115,136,174,327
1,21240,0.031,0.01128,-0.02712,2331,-2,51,75,14,53,172,97,239,223,2384,264
1,4093,-0.004,-0.04185,0.00307,2434,1,141,156,15,15,100,1,11,25,413,368
0,-21240,-0.031,0.01927,0.0,-1418,1,264,2384,223,239,97,51,75,14,53,172
1,-6473,-0.0058,0.00268,0.02594,-1133,-2,77,123,120,148,354,163,115,136,327,174
1,-23450,0.0262,0.05609,-0.01416,2658,-1,353,148,214,251,66,92,177,340,77,186
1,4445,0.003,0.03452,-0.00848,-2287,0,39,123,172,75,26,51,43,39,97,172
0,4445,0.003,-0.01662,-0.02837,-2460,0,39,123,172,75,26,51,43,39,97,172
1,-4093,0.004,-0.01249,-0.00646,-2029,-1,1,11,25,413,368,141,156,15,15,100
0,-16851,0.0124,-0.0318,0.02015,-1919,1,468,37,13,42,164,75,5,193,12,69
0,23450,-0.0262,0.03049,0.01197,49,0,92,177,340,77,186,353,148,214,251,66
1,-18169,0.0354,0.04496,0.04127,1530,-2,59,850,326,527,501,51,75,14,53,172
1,4445,0.003,-0.00026,-0.00349,3208,-2,39,172,75,123,26,51,43,39,97,172
0,-16851,0.0124,-0.06019,0.0,2772,-1,468,37,13,42,164,75,5,193,12,69
1,20962,0.0374,-0.00663,0.00115,7046,-1,20,14,44,18,82,97,264,223,2384,239
0,18169,-0.0354,0.05623,0.01275,-1372,1,51,75,14,53,172,59,326,850,527,501
1,20962,0.0374,-0.02144,0.00932,2043,-1,20,14,44,18,82,239,97,223,2384,264
0,-18169,0.0354,0.01852,-0.0073,-2737,0,59,850,326,501,527,51,75,14,53,172
0,-16851,0.0124,0.02625,0.03891,702,-1,468,37,13,42,164,75,5,193,12,69
0,-24221,0.0046,-0.06359,-0.00077,-2891,1,163,115,136,327,174,26,107,118,125,125
1,-6628,0.02,0.05423,-0.00675,1217,0,75,5,193,12,69,1,18,12,234,3
1,-24221,0.0046,0.00907,-0.03012,2596,0,163,115,136,174,327,26,107,118,125,125
0,-26748,-0.029,0.04968,0.00947,-1335,0,77,120,123,148,354,124,10,167,273,196
0,-24221,0.0046,-0.00778,0.00263,561,0,163,174,115,136,327,26,107,118,125,125
1,26748,0.029,-0.01434,-0.00351,5309,-1,124,10,167,273,196,77,123,120,354,148
0,6628,-0.02,-0.02908,0.032,1396,-1,1,18,234,12,3,75,5,193,12,69
1,27619,0.0076,0.01148,0.0024,2494,0,214,321,54,21,119,971,600,694,2404,271
0,1878,-0.0288,-0.03864,0.01779,-3040,0,117,580,109,463,425,50,69,33,196,133
1,-1878,0.0288,0.00849,-0.00184,6189,-1,50,69,33,196,133,117,580,109,463,425
0,-27619,-0.0076,0.01538,-0.02335,-2880,1,971,271,694,2404,600,214,54,321,21,119
0,-11344,0.015,0.02561,-0.02506,-2029,1,12,140,122,85,11,51,43,39,97,172
0,15991,0.0102,0.00693,-0.00447,-1592,0,758,683,1948,317,710,971,600,694,2404,271
0,-39085,-0.017,-7e-05,0.00929,1751,0,511,21,15,838,5001,214,54,21,321,119
1,2429,0.0046,-0.0229,0.01598,1211,0,14,100,170,41,55,39,123,172,75,26
0,-11344,0.015,0.02794,-0.04342,-1544,1,12,140,122,85,11,51,43,39,97,172
1,39085,0.017,-0.07899,-0.02998,8020,-1,214,54,321,21,119,511,21,15,838,5001
1,-10554,-0.006,0.03926,0.01572,3457,1,971,600,694,2404,271,710,683,1948,3988,317
0,2429,0.0046,0.00783,-0.02052,-2834,-1,14,100,170,41,55,39,75,172,123,26
1,-11344,0.015,0.01624,-0.02641,-158,1,12,140,122,85,11,51,43,39,97,172
1,2429,0.0046,0.0173,-0.003,128,0,14,100,170,41,55,39,123,75,172,26
1,-1512,-0.0222,0.01842,0.02974,2132,0,463,580,117,109,425,214,54,321,21,119
0,-24229,-0.0142,0.03813,0.034,-266,2,971,600,271,2404,694,50,69,33,196,133
0,1512,0.0222,-0.01187,0.00466,1066,2,214,54,21,321,119,580,117,109,463,425
1,24229,0.0142,0.01665,-0.0089,4284,-1,50,69,33,196,133,971,694,600,2404,271
1,-35855,0.0304,-0.01777,-0.00825,2608,2,12,140,122,85,11,140,30,244,306,51
0,-17588,-0.0016,-0.00473,0.00137,507,0,72,136,184,336,1331,51,43,39,97,172
0,35855,-0.0304,0.00284,0.03946,1314,0,140,30,244,306,51,12,11,122,85,140
1,17588,0.0016,0.00048,0.05234,1163,-1,51,43,39,97,172,72,136,184,336,1331
1,-23479,0.0324,-0.03495,0.02282,647,1,468,37,13,42,164,1,12,234,18,3
0,3704,0.0084,0.00945,-0.0099,104,-2,41,20,177,17,24,75,5,193,12,69
0,3704,0.0084,0.01173,0.00682,-1087,-1,41,20,177,17,24,75,5,193,12,69
1,-23479,0.0324,-0.01214,0.01986,1342,1,468,37,13,42,164,1,12,234,18,3
1,15789,-0.012,-0.02123,0.03182,-208,-1,39,172,75,123,26,12,140,122,85,11
1,6874,0.0076,0.00622,0.02404,-366,-1,14,100,170,41,55,51,43,39,97,172
0,1993,-0.029,0.03775,-0.02094,-545,0,64,68,28,65,59,41,20,177,17,24
0,-15789,0.012,-0.04048,-0.02048,-1187,1,12,140,122,85,11,39,123,172,75,26
1,6874,0.0076,0.04184,-0.01612,859,1,14,100,170,41,55,51,43,39,97,172
0,-25861,-0.0224,-0.02366,-0.03067,359,1,30,87,82,78,5001,75,5,193,12,69
0,1993,-0.029,-0.05359,-0.04022,-3874,3,64,65,28,68,59,41,20,177,17,24
1,1993,-0.029,-0.06119,-0.00332,3107,1,64,65,28,68,59,41,20,177,17,24
0,-25861,-0.0224,-0.0262,-0.02642,-1732,-2,87,30,78,5001,82,75,5,193,12,69
1,-20555,0.004,-0.0111,-0.0173,-1962,1,468,37,13,42,164,41,20,177,17,24
0,-6628,0.02,-0.01795,0.00203,2135,-1,75,5,193,12,69,1,12,234,18,3
0,20555,-0.004,-0.0193,0.0135,-604,0,41,20,17,177,24,468,37,13,42,164
1,6628,-0.02,0.01018,-0.02864,-881,2,1,18,234,12,3,75,5,193,12,69
1,-11538,-0.0024,0.01623,0.0226,888,-1,21,15,5001,838,511,274,11,84,894,148
1,37181,0.0212,-0.02068,0.00849,1329,1,317,683,1948,710,758,2820,685,91,5001,201
1,11538,0.0024,0.00724,0.02184,2830,0,274,11,84,894,148,15,511,21,838,5001
0,11538,0.0024,0.03491,0.00926,1896,0,148,11,274,894,84,511,5001,15,838,21
1,37181,0.0212,0.01808,0.01219,4601,-1,683,317,1948,710,758,2820,5001,685,91,201
0,-48809,-0.0186,-0.01691,-0.01638,-6824,0,91,5001,2820,685,201,214,54,21,321,119
1,2342,-0.0196,-0.04177,-0.02593,2304,1,425,117,109,580,463,648,683,1948,758,710
1,48809,0.0186,0.0155,0.00189,3950,0,214,54,321,21,119,2820,91,685,5001,201
1,2342,-0.0196,0.01063,-0.01356,1632,1,425,117,580,109,463,648,683,1948,758,710
1,-34201,0.0026,-0.00708,0.0,-396,-1,72,136,184,336,1331,73,461,57,148,311
1,15203,-0.0116,0.05402,0.00679,-4028,-3,140,30,244,306,51,91,95,46,76,16
0,-5987,-0.0082,-0.00761,-0.01251,-2030,-1,274,11,148,894,5001,971,2404,694,600,271
1,15203,-0.0116,-0.02419,-0.0165,-2020,1,140,30,244,306,51,91,95,46,76,16
0,34201,-0.0026,-0.0274,0.0214,-647,-1,73,461,57,148,311,72,136,184,336,1331
1,5987,0.0082,-0.03299,-0.00604,925,1,271,600,694,2404,971,148,274,11,5001,894
1,35695,0.0236,-0.02858,-0.00786,5517,0,50,69,33,196,133,5001,21,15,838,511
1,-9308,0.0038,-0.08343,-0.02157,-767,0,51,43,39,97,172,91,95,46,76,16
1,-5987,-0.0082,0.05233,0.01568,2403,-3,274,148,11,894,5001,971,600,694,2404,271
1,35695,0.0236,-0.0358,-0.00811,4231,-1,50,69,33,196,133,511,21,15,838,5001
0,-9308,0.0038,-0.01343,7e-05,-2744,2,51,43,39,97,172,91,95,46,16,76
1,-17637,0.023,0.03498,0.02955,5906,-1,14,100,170,41,55,140,30,244,306,51
0,25087,-0.0026,-0.01763,-0.00164,-2797,0,209,176,36,105,152,82,30,87,78,5001
1,-17637,0.023,-0.03623,0.01862,3006,-2,14,100,170,41,55,140,30,244,306,51
0,9308,-0.0038,0.01209,0.01256,2940,0,91,95,46,76,16,51,43,39,97,172
1,13132,-0.0068,-0.01881,-0.00882,302,1,64,59,28,65,68,163,109,48,198,98
0,25087,-0.0026,-0.02179,0.01111,-1044,0,176,152,36,105,209,30,5001,87,78,82
1,6244,0.0166,0.04588,-0.01431,4076,0,12,140,122,85,11,72,136,184,336,1331
0,-25087,0.0026,-0.03707,0.002,1338,0,87,30,78,5001,82,176,36,152,105,209
1,13132,-0.0068,0.01351,-0.04328,-520,0,64,65,28,68,59,163,109,198,48,98
1,6244,0.0166,-0.01197,-0.00421,2530,-1,12,140,122,85,11,72,136,184,336,1331
0,12168,-0.0072,0.02123,0.01607,-2451,1,73,461,57,148,311,39,172,75,123,26
1,-12168,0.0072,0.01456,0.01608,1669,-1,39,123,172,75,26,73,461,57,148,311
1,-6244,-0.0166,-0.02654,0.03719,308,1,72,136,184,336,1331,12,140,122,85,11
1,-16077,0.0374,-0.00401,0.00459,2677,0,468,37,13,42,164,176,152,209,36,105
1,29565,0.0308,0.01207,-0.00397,2276,-1,41,20,17,177,24,30,5001,87,78,82
0,16077,-0.0374,0.0189,0.0,570,0,176,152,36,105,209,468,37,13,42,164
0,-29565,-0.0308,-0.00071,-0.00427,-3337,2,5001,30,87,78,82,41,20,177,17,24
0,5697,-0.0206,-0.05177,-0.00902,-1891,0,64,68,28,65,59,75,5,193,12,69
0,-14063,0.0062,-0.05794,-0.03743,-4572,0,163,109,48,98,198,1,12,234,18,3
0,5697,-0.0206,-0.02199,0.01378,-939,0,64,65,28,68,59,75,5,193,12,69
0,-14063,0.0062,-0.05348,-0.04867,-3381,0,163,109,48,198,98,1,12,18,234,3
1,1627,-0.0102,0.04709,-0.0068,1587,1,1,11,25,413,368,14,100,170,41,55
0,-1627,0.0102,0.02606,0.01353,-3863,-2,14,100,170,41,55,1,11,25,413,368
0,-1627,0.0102,-0.02573,-0.02893,-2984,-1,14,100,170,41,55,1,11,25,413,368
1,-1627,0.0102,-0.04,-0.02734,-947,0,14,100,170,41,55,1,11,25,413,368
1,4057,0.007,0.01973,0.03312,-1729,-1,353,148,214,251,66,12,140,122,85,11
0,4057,0.007,0.01178,0.02736,-722,1,353,148,214,251,66,12,140,122,85,11
0,-4057,-0.007,0.03852,-0.00274,757,0,12,140,122,85,11,353,148,214,251,66
0,-15788,0.0246,-0.03818,0.02642,-2806,1,353,148,214,251,66,1,11,25,413,368
1,15788,-0.0246,0.02192,0.00229,690,0,1,11,25,413,368,353,148,214,251,66
0,-18218,0.0074,-0.07012,-0.02956,618,0,12,140,122,85,11,14,100,170,41,55
1,18218,-0.0074,0.00196,-0.03317,2011,0,14,100,170,41,55,12,140,122,85,11
1,-15943,0.0188,0.005,-0.018,3248,0,12,140,122,85,11,93,57,17,46,90
0,15943,-0.0188,0.02493,0.04764,-1695,-2,93,57,17,90,46,12,140,122,85,11
0,-3902,-0.0012,0.04181,0.01166,-3145,-1,93,57,17,46,90,1,11,25,413,368
1,-11344,0.015,0.02568,0.02258,2762,1,12,140,122,85,11,51,43,39,97,172
1,-1069,0.0132,0.01819,-0.00548,1741,-2,353,148,214,251,42,91,95,46,76,16
1,-1069,0.0132,-0.00567,0.00371,520,1,353,148,214,251,42,91,95,46,76,16
0,-1069,0.0132,0.03002,-0.0232,-971,-1,353,148,214,251,42,91,95,46,76,16
1,-1365,-0.0018,-0.01375,0.01352,2419,-1,14,100,170,41,55,353,148,214,251,42
0,-2817,0.0028,0.04669,-0.0032,149,-1,38,190,4,244,94,91,95,46,76,16
1,5956,-0.0028,-0.00833,-0.0009,970,0,9,390,4,589,2,183,508,285,202,155
1,5956,-0.0028,0.02004,-0.0264,3156,2,2,4,589,390,9,183,508,285,202,155
1,5956,-0.0028,0.0138,-0.02453,-701,-1,2,9,4,390,589,183,202,155,508,285
1,16730,-0.0098,0.01298,-0.00841,-1204,0,183,202,508,285,155,539,5,1627,16,1
0,-34840,0.0362,0.03397,-0.00124,-2250,-1,9,112,312,64,2459,530,315,156,165,81
0,-16730,0.0098,-0.02403,0.00088,-2009,0,1627,539,5,16,1,183,202,285,508,155
1,-34840,0.0362,-0.00926,-0.02286,14,0,9,112,312,64,2459,530,315,156,165,81
0,-34840,0.0362,-0.01254,-0.00921,1879,1,9,112,312,64,2459,530,315,156,165,81
0,-34840,0.0362,-0.00582,-0.01421,-1041,0,9,112,312,64,2459,530,315,156,165,81
1,9322,-0.0132,-0.06069,-0.02996,622,0,530,315,156,165,81,51,43,39,97,172
1,-13778,0.023,0.00895,-0.00094,242,0,353,148,214,251,66,38,190,4,244,94
1,9322,-0.0132,0.05252,0.02867,2554,1,530,315,156,165,81,51,43,39,97,172
1,-24883,0.0378,0.00103,0.00631,3245,-1,468,37,13,42,164,64,79,28,68,262
0,-3598,-0.027,-0.02438,0.00934,-2210,0,65,372,38,259,365,58,178,11,5001,367
1,19887,-0.0094,-0.0189,-0.03361,-1464,1,93,17,90,57,46,12,140,122,5001,11
0,9322,-0.0132,-0.03062,-0.00916,-14,1,530,315,156,165,81,51,43,39,97,172
0,24883,-0.0378,-0.00547,-0.00037,916,2,64,79,28,68,262,468,37,13,42,164
1,3598,0.027,0.03444,0.00201,2178,0,58,178,11,5001,367,365,372,259,65,38
1,-2434,0.0114,-0.05478,-0.02001,925,0,14,100,170,41,55,91,95,46,76,16
0,-3598,-0.027,-0.02881,-0.02516,-4811,0,372,259,38,65,365,58,178,11,5001,367
1,8501,-0.0026,0.00327,-0.04743,-725,1,1,11,25,413,368,51,43,39,97,172
0,23479,-0.0324,-0.05313,0.00556,-1768,-1,1,12,18,234,3,468,37,13,42,164
1,9804,-0.0138,0.01692,0.00477,3482,1,372,259,65,38,365,2661,1816,573,539,598
0,23479,-0.0324,-0.05294,0.04323,-4515,1,234,18,12,1,3,468,37,13,42,164
1,9804,-0.0138,0.01687,-0.00311,3462,0,38,259,372,65,365,573,1816,2661,539,598
0,26168,-0.003,0.0377,-0.025,-619,0,713,349,109,706,686,1627,539,5,16,1
1,5956,-0.0028,-0.03212,0.01895,-3314,-1,9,4,390,589,2,183,285,202,508,155
1,-26168,0.003,-0.02536,0.01138,1383,-1,1627,539,5,16,1,349,713,109,686,706
1,5956,-0.0028,0.03788,-0.00404,-3681,-1,4,9,390,589,2,183,202,285,508,155
0,21639,-0.024,0.01177,0.01551,-3468,1,260,60,335,770,253,1627,539,5,16,1
1,17334,0.024,-0.00135,-0.02967,3289,1,713,349,686,109,706,511,502,922,508,1505
0,21639,-0.024,-0.04132,-0.0209,-3636,1,260,60,335,770,253,1627,539,5,16,1
1,16639,0.0248,-0.0057,0.01925,5314,-1,713,349,109,706,686,511,922,502,508,51
1,21639,-0.024,-0.02471,-0.01753,1820,1,260,60,335,770,253,1627,539,5,16,1
0,9438,0.0068,0.02981,0.01016,-1646,1,713,109,686,706,349,183,202,285,508,155
1,1047,0.0114,0.02232,-0.00304,991,0,589,4,390,2,9,253,60,335,770,260
1,-34840,0.0362,-0.02543,-0.02633,-2907,0,9,112,312,64,2459,530,315,156,165,81
0,9438,0.0068,0.01839,0.01395,-2680,-1,349,109,713,706,686,183,202,285,508,155
1,1047,0.0114,0.0675,-0.03393,430,-1,9,4,390,589,2,335,60,253,770,260
0,-34840,0.0362,-0.04889,0.00525,-2731,0,9,112,312,64,2459,530,315,156,165,81
0,9308,-0.0038,0.02403,-0.02516,-440,0,91,95,46,76,16,51,43,39,97,172
0,9308,-0.0038,0.05317,0.0088,-1552,1,91,95,46,76,16,51,43,39,97,172
1,-34840,0.0362,-0.04896,0.01806,-127,1,9,112,312,64,2459,530,315,156,165,81
0,15203,-0.0116,-0.01617,-0.00879,-1118,2,140,244,30,306,51,91,95,46,76,16
0,-9610,-0.0064,-0.03119,0.02364,-2542,-1,72,136,184,336,63,51,43,39,97,172
1,-15203,0.0116,0.04266,0.0051,2134,-1,91,95,46,76,16,140,30,244,306,51
1,-4328,0.0338,-0.0073,0.00037,3868,0,41,20,177,17,24,79,64,28,68,262
1,-4328,0.0338,0.01571,-0.0244,-2150,-1,41,20,177,17,24,64,79,28,68,262
1,9610,0.0064,-0.01145,-0.00064,-1019,0,51,43,39,97,172,72,136,184,336,63
1,15203,-0.0116,0.00164,-0.03401,-1616,-2,140,51,30,306,244,91,95,46,76,16
1,3598,0.027,-0.00079,0.03514,1421,0,58,178,11,5001,367,372,259,38,65,365
1,-25518,0.023,-0.01319,-0.0081,617,2,9,112,312,64,2459,51,43,39,97,172
1,4328,-0.0338,0.03783,-0.01521,-2361,1,64,79,28,68,262,41,20,177,17,24
1,14,-0.0094,-0.05267,-0.00123,-1482,0,530,315,156,165,81,91,95,46,76,16
1,3598,0.027,0.01935,-0.00813,-840,-1,58,178,11,5001,367,372,38,65,259,365
1,-14,0.0094,0.01008,0.00659,0,-1,91,95,46,76,16,530,315,156,165,81
1,25518,-0.023,0.06361,0.00802,2493,0,51,43,39,97,172,9,112,312,64,2459
0,3598,0.027,-0.00279,0.00953,-574,-1,58,178,11,5001,367,65,372,259,38,365
1,-13170,0.0342,-0.0009,0.0,360,0,468,37,13,42,164,63,118,103,120,56
